Class,Identifiers,Address,Type,Initial Value,Comment
VAR,ActionArbiter_Inst,,FB_ActionArbiter,,
VAR,Auto_BowlDropDonePulse,,BOOL,,落碗動作完成脈波
VAR,Auto_BowlDropDoneUnitID,,DINT,,本次完成落碗的碗編號
VAR,Auto_BowlDropGrantUnitID,,DINT,,本次允許落碗的碗編號
VAR,Auto_BowlDropRequestUnitID,,DINT,,目前要求落碗的碗編號
VAR,Auto_ConveyorRunGrant,,BOOL,,仲裁後允許輸送帶運轉
VAR,Auto_ConveyorRunRequest,,BOOL,,全自動流程要求輸送帶運轉
VAR,Auto_IPCError,,BOOL,,全自動IPC指令錯誤
VAR,Auto_IPCErrorCode,,INT,,全自動IPC指令錯誤代碼
VAR,Auto_NoodleActionBusy,,BOOL,,全自動Nachi動作流程正在執行
VAR,Auto_NoodleDropDonePulse,,BOOL,,倒麵完成通知，只保持一個PLC Scan
VAR,Auto_NoodleDropDoneUnitID,,DINT,,本次完成倒麵的碗編號
VAR,Auto_NoodleDropGrant,,BOOL,,允許Nachi將熟麵倒入到位的碗
VAR,Auto_NoodleDropGrantUnitID,,DINT,,目前允許倒麵的碗編號
VAR,Auto_NoodleDropRequest,,BOOL,,要求Nachi將熟麵倒入碗中
VAR,Auto_NoodleDropRequestUnitID,,DINT,,目前要求倒麵的碗編號
VAR,Auto_NoodleLoadGrant,,BOOL,,允許Nachi拿生麵並放入指定麵篩
VAR,Auto_NoodleShakeGrant,,BOOL,,允許Nachi拿起熟麵、甩麵並停在等待位置
VAR,Auto_NoodleZoneLocked,,BOOL,,Nachi煮麵手臂目前占用共用干涉區
VAR,Auto_RightmostStation,,INT,,最右端尚未完成的碗所在站
VAR,Auto_RobotIntervalPermit,,BOOL,,全自動模式的Nachi間隔動作允許
VAR,Auto_SoupDonePulse,,BOOL,,注湯完成脈波
VAR,Auto_SoupDoneUnitID,,DINT,,本次完成注湯的碗編號
VAR,Auto_SoupGrant,,BOOL,,仲裁後允許執行注湯
VAR,Auto_SoupGrantUnitID,,DINT,,本次允許注湯的碗編號
VAR,Auto_SoupRequest,,BOOL,,要求最右端執行注湯
VAR,Auto_SoupRequestUnitID,,DINT,,目前要求注湯的碗編號
VAR,Auto_UR1Active,,BOOL,,UR1的CMD103或CMD101已送出，目前等待對應的203或201完成回覆
VAR,Auto_UR1CommandNo,,INT,,UR1目前指令：0=無、101=前三料、103=預先拍照
VAR,Auto_UR1DonePulse,,BOOL,,CMD101收到201完成脈波
VAR,Auto_UR1DoneUnitID,,DINT,,本次完成CMD101的碗編號
VAR,Auto_UR1Grant,,BOOL,,仲裁後允許UR1執行CMD101
VAR,Auto_UR1GrantUnitID,,DINT,,本次允許CMD101的碗編號
VAR,Auto_UR1Request,,BOOL,,要求UR1執行CMD101
VAR,Auto_UR1RequestUnitID,,DINT,,目前要求CMD101的碗編號
VAR,Auto_UR1VisionDonePulse,,BOOL,,CMD103收到203完成脈波
VAR,Auto_UR1VisionDoneUnitID,,DINT,,本次完成CMD103的碗編號
VAR,Auto_UR1VisionGrant,,BOOL,,仲裁後允許執行CMD103預先拍照
VAR,Auto_UR1VisionGrantUnitID,,DINT,,本次允許CMD103的碗編號
VAR,Auto_UR1VisionRequest,,BOOL,,要求執行CMD103預先拍照
VAR,Auto_UR1VisionRequestUnitID,,DINT,,目前要求CMD103的碗編號
VAR,Auto_UR2Active,,BOOL,,UR2指令已送出，等待完成回覆202
VAR,Auto_UR2DonePulse,,BOOL,,CMD102收到202完成脈波
VAR,Auto_UR2DoneUnitID,,DINT,,本次完成CMD102的碗編號
VAR,Auto_UR2Grant,,BOOL,,仲裁後允許UR2執行CMD102
VAR,Auto_UR2GrantUnitID,,DINT,,本次允許CMD102的碗編號
VAR,Auto_UR2Request,,BOOL,,要求UR2執行CMD102
VAR,Auto_UR2RequestUnitID,,DINT,,目前要求CMD102的碗編號
VAR,AutoBowlAction_Inst,,FB_AutoBowlAction,,
VAR,AutoBowlFlow_Inst,,FB_AutoBowlFlow,,全自動多碗輸送及站點流程功能塊實例
VAR,AutoIPCAction_Inst,,FB_AutoIPCAction,,全自動IPC／UR指令執行實例
VAR,AutoNoodleAction_Inst,,FB_AutoNoodleAction,,全自動Nachi煮麵手臂動作功能塊實例
VAR,AutoScheduler_Inst,,FB_AutoScheduler,,
VAR,Auto_OrderCompletePulse,,BOOL,,訂單完成一個Scan脈波
