source_path,category,status,purpose,notes
KNOWHOW.md,architecture,candidate,交接與系統入口,"部分版本資訊早於V2_101，使用時需與現況比對"
1.PLC/MVP_V2_101/,plc,candidate,最新可見ISPSoft專案,"須與PLC實機版本核對"
1.PLC/MVP_V2_100/,plc,verified,既有AS200 Simulator驗收版本,"不是自動等同現場正式版"
FB_AutoIPCAction.st,plc_logic,candidate,AUTO與IPC任務101/102/103銜接,"需確認已整合至指定ISPSoft版本"
3.HMI/0.0.3/register_map.py,protocol,verified,一般HMI/PLC/IPC/Robot暫存器常數,"與PLC export共同對表"
3.HMI/0.0.3/auto_plc_contract.py,protocol,candidate,AUTO訂單與監看區契約,"有位址與未配置欄位並存"
3.HMI/0.0.3/PLC_COMMUNICATION_PLAN.md,design,candidate,AUTO訂單握手設計,"需以現行程式覆核"
3.HMI/0.0.3/VALIDATION_REPORT_2026-08-19.md,test_evidence,verified,HMI與AS200基礎驗收,"日期後新增功能需另行驗證"
6.IPC/0.0.1/ipc_controller.py,ipc,historical,Modbus握手骨架,"實機Robot SDK仍為TODO"
6.IPC/0.0.2/isaac_dual_food_ur5e_2bowls1.py,ipc_robot,candidate,Isaac/ROS2/RTDE雙UR5e控制,"大型整合程式，需實機安全驗證"
6.IPC/0.0.2/isaac_dual_food_ur5e_2bowls1說明.md,documentation,candidate,雙UR5e流程與設定說明,"應與同版Python同步"
7.Ordering/0.0.1/,ordering,planned,手機點餐前台,"目前仍以本機資料為主"
8.TEST_Code/plc_auto_logic_sim.py,test,verified,Python流程參考模型,"不執行ISPSoft程式"
8.TEST_Code/virtual_plc_modbus.py,test,verified,虛擬Modbus PLC,"不代表AS200真實邏輯"
8.TEST_Code/as200_full_auto_flow_test.py,test,candidate,AS200單碗完整流程測試,"須連同執行log與PLC版本判讀"
8.TEST_Code/as200_multi_order_stress_test.py,test,candidate,多訂單壓力測試,"須連同執行log判讀"
8.TEST_Code/as200_pipeline_stress_test.py,test,candidate,多站流水線壓力測試,"須連同執行log判讀"
8.TEST_Code/as200_resume_fifo_stress_test.py,test,candidate,FIFO復歸測試,"須連同執行log判讀"
8.TEST_Code/as200_1000_order_endurance_test.py,test,candidate,1000筆耐久測試,"程式存在不等於最近結果通過"
4.IO/MVP_Ramen_Comm_IO_Table_v3.xlsx,io,historical,舊規劃追溯,"不得作現行位址或配線真值"
2.電路圖/,electrical,candidate,電路與控制迴路,"須由電控與現場核准"
5.Robot/,robot,candidate,Nachi控制器備份與程式,"須以控制器實機版本核對"
